LSOA21CD,LSOA21NM,LSOA21NMW,ObjectId
E01009382,Birmingham 142D,,8851
E01009594,Coventry 006D,,8852
E01009323,Birmingham 069E,,8853
E01009654,Coventry 021B,,8854
E01009539,Coventry 039A,,8855
E01009487,Birmingham 044F,,8856
E01009437,Birmingham 006C,,8857
E01009655,Coventry 016A,,8858
E01009656,Coventry 016B,,8859
E01009657,Coventry 018B,,8860
E01009658,Coventry 021C,,8861
E01009659,Coventry 016C,,8862
E01009660,Coventry 021D,,8863
E01009661,Coventry 028D,,8864
E01009662,Coventry 016D,,8865
E01009663,Coventry 013B,,8866
E01009664,Coventry 016E,,8867
E01009665,Coventry 042A,,8868
E01009666,Coventry 041A,,8869
E01009667,Coventry 041B,,8870
E01009668,Coventry 041C,,8871
E01009669,Coventry 042B,,8872
E01009670,Coventry 041D,,8873
E01009671,Coventry 042C,,8874
E01009672,Coventry 040E,,8875
E01009674,Coventry 029A,,8876
E01009676,Coventry 032A,,8877
E01009679,Coventry 036C,,8878
E01009681,Coventry 032B,,8879
E01009682,Coventry 032C,,8880
E01009683,Coventry 032D,,8881
E01009684,Coventry 026B,,8882
E01009685,Coventry 026C,,8883
E01009438,Birmingham 012C,,8884
E01009686,Coventry 026D,,8885
E01009324,Birmingham 072B,,8886
E01009439,Birmingham 021A,,8887
E01009488,Birmingham 051C,,8888
E01009687,Coventry 026E,,8889
E01009540,Coventry 039B,,8890
E01009325,Birmingham 063A,,8891
E01009596,Coventry 043C,,8892
E01009383,Birmingham 083D,,8893
E01009440,Birmingham 012D,,8894
E01009489,Birmingham 051D,,8895
E01009688,Coventry 030A,,8896
E01009541,Coventry 039C,,8897
E01009326,Birmingham 066D,,8898
E01009597,Coventry 043D,,8899
E01009384,Birmingham 092E,,8900
E01009441,Birmingham 021B,,8901
E01009490,Birmingham 055D,,8902
E01009689,Coventry 030B,,8903
E01009542,Coventry 039D,,8904
E01009327,Birmingham 139B,,8905
E01009598,Coventry 002D,,8906
E01009385,Birmingham 092F,,8907
E01009442,Birmingham 021C,,8908
E01009491,Birmingham 051E,,8909
E01009690,Coventry 030C,,8910
E01009543,Coventry 033D,,8911
E01009328,Birmingham 139C,,8912
E01009599,Coventry 013A,,8913
E01009389,Birmingham 093B,,8914
E01009443,Birmingham 021D,,8915
E01009492,Birmingham 055E,,8916
E01009691,Coventry 030D,,8917
E01009544,Coventry 038A,,8918
E01009329,Birmingham 070A,,8919
E01009604,Coventry 004A,,8920
E01009390,Birmingham 093C,,8921
E01009444,Birmingham 006D,,8922
E01009493,Birmingham 113D,,8923
E01009692,Coventry 022B,,8924
E01009548,Coventry 031A,,8925
E01009331,Birmingham 139D,,8926
E01009605,Coventry 004B,,8927
E01009391,Birmingham 143C,,8928
E01009445,Birmingham 005A,,8929
E01009494,Birmingham 109A,,8930
E01009693,Coventry 022C,,8931
E01009549,Coventry 037B,,8932
E01009332,Birmingham 139E,,8933
E01009606,Coventry 005C,,8934
E01009392,Birmingham 142E,,8935
E01009446,Birmingham 005B,,8936
E01009495,Birmingham 106E,,8937
E01009694,Coventry 022D,,8938
E01009695,Coventry 023A,,8939
E01009696,Coventry 023B,,8940
E01009697,Coventry 025A,,8941
E01009698,Coventry 025B,,8942
E01009699,Coventry 029B,,8943
E01009700,Coventry 029C,,8944
E01009701,Coventry 029D,,8945
E01009702,Coventry 029E,,8946
E01009704,Coventry 023C,,8947
E01009705,Coventry 023D,,8948
E01009706,Coventry 025D,,8949
E01009707,Coventry 033E,,8950
E01009708,Coventry 033F,,8951
E01009709,Coventry 007F,,8952
E01009496,Birmingham 109B,,8953
E01009497,Birmingham 109C,,8954
E01009498,Birmingham 119D,,8955
E01009499,Birmingham 119E,,8956
E01009500,Birmingham 095E,,8957
E01009501,Birmingham 101B,,8958
